customer_id,full_name,total_spent,transaction_count,days_since_registration,avg_order_value
CUST0075,Maxwell Pope,128800.08,11,673,4154.84
CUST0076,Julie Hughes,195265.86,15,521,4068.04
CUST0077,Glenn Miller,169122.72,11,502,4974.2
CUST0078,Elaine Fox,69813.68,5,358,4363.36
CUST0079,Victoria Carlson,158017.46,9,681,4938.05
CUST0080,Katherine Middleton,142403.91,11,277,4593.67
CUST0081,David Rose,98383.67,9,530,4684.94
CUST0082,Melissa Hughes,86717.8,8,116,3770.34
CUST0083,Adam Smith,153744.21,8,106,4959.49
CUST0084,Timothy Gibson,162423.27,15,705,4164.7
CUST0085,Tiffany Miller,118423.5,8,488,4229.41
CUST0086,Gabriel Holmes,195899.6,15,332,5023.07
CUST0087,Morgan Lopez,81184.61,5,318,4510.26
CUST0088,Matthew White,172307.09,12,38,4656.95
CUST0089,Courtney Mcgee,182638.31,14,136,3885.92
CUST0090,Vincent Lewis,160728.4,14,3,4229.69
CUST0091,Omar Powers,144719.4,14,181,3911.34
CUST0092,Vanessa Bauer,172917.29,12,64,4940.49
CUST0093,Ryan Rhodes,138465.75,11,255,4774.68
CUST0094,Patrick Turner,190864.76,14,451,4544.4
CUST0095,Joshua Pacheco,140748.45,10,219,4398.39
CUST0096,Tammy Johnson,160165.82,8,669,5338.86
CUST0097,Karen Davis,223508.64,14,98,4561.4
CUST0098,Christopher Diaz,147128.1,10,656,4597.75
CUST0099,Deborah Rodriguez,107910.15,8,72,4691.75
CUST0100,Ryan Blackburn,121293.42,11,443,4182.53
CUST0101,Keith Thomas,48939.82,5,609,3495.7
CUST0102,Tanner Cox,137587.14,9,90,4046.68
CUST0103,Kristi Flores,191333.6,13,303,4251.86
CUST0104,Joshua Solis,89141.5,7,438,4457.08
CUST0105,Taylor Bond,97147.02,6,283,4857.35
CUST0106,Christian Wilson,289560.79,16,158,5463.41
CUST0107,Virginia Norris,91599.75,6,190,4579.99
CUST0108,Sandra Haynes,161404.08,14,193,4362.27
CUST0109,Donald Martin,50408.78,4,342,3877.6
CUST0110,Melissa Martinez,62179.41,5,327,4441.39
CUST0111,Andrew White,121880.49,9,697,4352.87
CUST0112,Olivia Johnson,140836.86,13,573,4856.44
CUST0113,Jamie Parker,129642.42,12,702,3813.01
CUST0114,Louis Rowe,100764.61,7,582,4798.31
CUST0115,Steven Morgan,140864.3,12,647,3611.91
CUST0116,Michaela Evans,113899.67,10,253,3674.18
CUST0117,Jessica Graham,138101.81,11,86,5114.88
CUST0118,Brian Morris,170126.14,11,355,6075.93
CUST0119,Crystal Blanchard,162140.46,11,345,3954.65
CUST0120,Gwendolyn Morton,137457.11,11,11,4295.53
CUST0121,Theresa Taylor,205474.25,15,727,4466.83
CUST0122,Joshua Beasley,86638.82,5,39,5775.92
CUST0123,Janet Armstrong,114868.91,8,276,4594.76
CUST0124,Jennifer Miles,111727.18,10,348,3604.1
CUST0125,Patrick Hall,160151.4,13,383,3906.13
CUST0126,Barbara Waters,177130.38,14,185,4320.25
CUST0127,Jeremy Smith,48789.4,5,639,2869.96
CUST0128,Colleen Craig,79897.67,4,267,5706.98
CUST0129,Robert Houston,253358.81,17,654,4153.42
CUST0130,Katherine Nunez,238462.61,14,586,4967.97
CUST0131,Bradley Newman,103164.5,9,571,4126.58
CUST0132,Ronald Ramirez,90498.56,11,153,3232.09
CUST0133,Laura Robertson,42112.25,4,368,6016.04
CUST0134,Darin Morris,170226.5,12,581,5006.66
CUST0135,Michael Turner,186578.56,12,451,4664.46
CUST0136,David Davidson,80924.64,7,500,4259.19
CUST0137,Jonathan Ruiz,181266.41,11,255,5179.04
CUST0138,Mark Flynn,210139.89,17,97,4288.57
CUST0139,Rachel Bishop,234473.12,14,54,4689.46
CUST0140,David Scott,148165.25,9,705,5109.15
CUST0141,Bradley Scott,90337.29,7,345,4301.78
CUST0142,Sheryl King,131363.44,8,465,4378.78
CUST0143,Bradley Anderson,182911.89,15,585,4157.09
CUST0144,Robin Stevens,74190.18,6,84,4636.89
CUST0145,Jose Brown,179954.1,13,633,4863.62
CUST0146,Kevin Carlson,246266.65,17,497,4735.9
CUST0147,Sarah Garcia,136583.59,10,150,4709.78
CUST0148,Alicia Williams,207667.11,10,485,5191.68
CUST0149,Donald Boone,177641.57,13,615,4554.91
CUST0150,Veronica Thomas,183535.74,13,567,5098.22
CUST0151,Benjamin Chambers,115192.63,6,79,5485.36
CUST0152,Julie Lawrence,121500.26,7,16,5062.51
CUST0153,James Carter,38564.06,3,320,4284.9
CUST0154,Sandra Smith,76336.49,5,669,4240.92
CUST0155,Nathaniel Davis,59950.55,6,142,4995.88
CUST0156,Whitney Frank,144009.47,10,187,4000.26
CUST0157,Stephen Mason,155007.68,8,619,5345.09
CUST0158,Michael Sanchez,111990.12,7,124,4479.6
CUST0159,George Graham,155844.91,15,595,4101.18
CUST0160,Jennifer Thompson,121604.75,9,51,4343.03
CUST0161,Jeremy Sutton,108324.21,9,331,4923.83
CUST0162,Patricia Lang,224901.1,12,69,5766.69
CUST0163,Eric Sosa,185908.98,17,387,4131.31
CUST0164,Chad Atkins,72422.66,6,387,4828.18
CUST0165,Madison Johnson,192210.99,16,339,4178.5
CUST0166,Crystal Fleming,177103.99,12,57,5366.79
CUST0167,Bobby Torres,162697.76,13,539,4648.51
CUST0168,Elizabeth Schultz,136844.31,10,518,4414.33
CUST0169,Steven Warren,157997.02,11,191,3949.93
CUST0170,Teresa Peterson,48706.68,3,277,3746.67
CUST0171,Joseph Aguilar,79877.89,6,244,4437.66
CUST0172,William Lynch,141571.89,9,190,4424.12
CUST0173,Connie Chen,104960.61,8,651,5248.03
CUST0174,Pamela Cox,104496.34,8,390,4019.09
CUST0175,Andrea Johnson,105941.69,9,397,4074.68
CUST0176,Andrew Jones,135231.54,11,440,4225.99
CUST0177,Anthony Kaiser,129588.6,9,3,5399.53
CUST0178,Brian Kerr,144530.07,10,470,4516.56
CUST0179,Molly Willis,124526.82,13,217,4447.39
CUST0180,Sherry Acevedo,105009.36,12,588,3387.4
CUST0181,Mario Arnold,101102.41,7,594,4814.4
CUST0182,Kaitlyn Flores,103518.22,9,244,3834.01
CUST0183,Nicholas Mathis,147021.08,13,488,4200.6
CUST0184,Scott Wells,190069.38,10,376,5759.68
CUST0185,Brian Lee,190917.1,13,104,5615.21
CUST0186,Michael Tyler,113048.53,9,111,4186.98
CUST0187,Tonya Wilson,185752.76,13,67,4888.23
CUST0188,Jason Perez,132687.72,9,370,3902.58
CUST0189,Lori Phillips,117219.16,7,40,6169.43
CUST0190,Matthew Delgado,53594.69,6,83,3349.67
CUST0191,Janet Johnson,253346.24,13,236,5507.53
CUST0192,Sean Armstrong,116166.17,11,266,4467.93
CUST0193,Gregory Joseph,111278.62,10,431,5563.93
CUST0194,Leroy Peterson,125157.7,9,152,5006.31
CUST0195,Karen Cole,77479.04,6,561,4842.44
CUST0196,Briana Murray,96668.84,12,113,3866.75
CUST0197,Brianna Dixon,203399.03,13,286,5352.61
CUST0198,Brian Simpson,98373.32,9,522,4277.1
CUST0199,Robert Arias,61913.75,7,643,4127.58
CUST0200,Tasha Tran,208408.05,12,639,5484.42
CUST0201,Lindsay Smith,143019.52,13,156,4767.32
CUST0202,Elizabeth Ford,82570.71,8,65,3753.21
CUST0203,Douglas Clayton,257435.77,15,372,5148.72
CUST0204,Christina Powell,150866.81,14,293,3508.53
CUST0205,John Arnold,133782.92,10,532,4777.96
CUST0206,Matthew Morris,127232.7,8,514,4712.32
CUST0207,Daniel Morales,156960.13,11,413,4616.47
CUST0208,William Johnson,132015.21,8,39,5500.63
CUST0209,Jennifer Guerrero,156146.24,13,567,4461.32
CUST0210,Dustin Medina,164205.66,14,356,4321.2
CUST0211,Anthony Martinez,99525.68,10,359,3317.52
CUST0212,David Lopez,170699.72,11,438,4613.51
CUST0213,Kenneth Martin,139017.18,9,126,4088.74
CUST0214,Oscar Middleton,71562.29,8,38,4770.82
CUST0215,Debra Travis,106407.25,7,404,4836.69
CUST0216,Stephanie Mejia,198217.08,13,452,4609.7
CUST0217,Anthony Terry,222857.77,15,458,4741.65
CUST0218,Brenda Ford,105334.43,9,48,4213.38
CUST0219,Doris Moran,117213.02,10,550,5327.86
CUST0220,Margaret Kelley,85626.66,8,80,3722.9
CUST0221,Brian Davis,222433.21,13,572,5172.87
CUST0222,Christina Allen,215820.06,14,265,4905.0
CUST0223,Melissa Hines,248180.71,17,269,4963.61
CUST0224,Adam Garza,158008.46,13,520,3853.86
CUST0225,Jorge Carr,144877.43,10,588,4261.1
CUST0226,Christian Rodriguez,113279.5,8,64,4045.7
CUST0227,Brandon Keller,124051.61,6,624,5638.71
CUST0228,Dalton Brown,124879.7,6,606,4803.07
CUST0229,Alexis Parker,174653.24,12,206,4158.41
CUST0230,Debbie Gaines,121701.8,8,127,5070.91
CUST0231,Lindsey Frazier,150029.43,13,403,4167.48
CUST0232,Christopher Hendricks,75555.51,6,290,4722.22
CUST0233,Benjamin Navarro,140632.77,13,399,4136.26
CUST0234,Jennifer Waller,142255.45,13,490,4588.89
CUST0235,Anthony Freeman,175844.05,10,632,5861.47
CUST0236,Rebecca Lopez,141785.97,11,131,4296.54
CUST0237,Tyler Green,87492.96,8,129,3804.04
CUST0238,Lori Roach,184969.06,15,711,4511.44
CUST0239,Lisa Bradford,93641.22,10,624,3745.65
CUST0240,Emily Williams,201167.16,12,379,4906.52
CUST0241,Antonio Martin,174146.67,13,78,5121.96
CUST0242,Jeremiah Kim,121254.83,8,7,4663.65
CUST0243,Andrea Wilson,113474.4,9,253,4933.67
CUST0244,Jacqueline Weiss,125808.07,8,709,4838.77
CUST0245,Yolanda Terry,161043.76,11,706,4880.11
CUST0246,Leslie Lopez,125581.04,10,568,4186.03
CUST0247,Javier Burns,98071.48,8,300,3064.73
CUST0248,Jason Tate,131149.99,10,140,4098.44
CUST0249,Lauren Brown,176495.57,12,465,5515.49
CUST0250,Christina Williams,159783.79,9,437,5509.79
CUST0251,Susan Gomez,165013.29,15,10,4231.11
CUST0252,William Snyder,116569.95,8,488,4483.46
CUST0253,Francis Nguyen,100961.25,12,712,3605.76
CUST0254,Nicole Byrd,111189.2,7,283,5559.46
CUST0255,Elizabeth Smith,170862.04,10,300,5025.35
CUST0256,Judy Hamilton,195076.94,15,74,3981.16
CUST0257,Tanya Elliott,74146.8,5,706,4943.12
CUST0258,Keith Padilla,127688.2,14,130,3990.26
CUST0259,Damon Macias,113028.84,8,293,5382.33
CUST0260,Christopher Brewer,155093.65,13,490,4081.41
CUST0261,James Ware,119186.21,8,157,5182.01
CUST0262,Angela Nichols,100585.53,8,498,4023.42
CUST0263,Lori Baker,216591.41,14,160,4608.33
CUST0264,Scott Williams,194697.45,14,300,4326.61
CUST0265,Kevin Ward,160039.21,12,448,4000.98
CUST0266,Robert Jones,101787.67,7,416,4626.71
CUST0267,David Goodwin,136377.6,9,32,4399.28
CUST0268,Carrie Smith,216319.87,12,29,5546.66
CUST0269,Mary Levy,258962.03,13,77,4708.4
CUST0270,Scott Aguilar,128112.88,8,204,4575.46
CUST0271,Justin Gonzalez,164979.89,10,447,4713.71
CUST0272,Henry Johnson,40708.07,3,525,4523.12
CUST0273,Jenna Webb,90378.33,6,564,5021.02
CUST0274,Brian Woodard,92500.66,9,219,4868.46
CUST0275,Jeffrey Strong,154923.29,13,649,3602.87
CUST0276,Andrew Everett,112926.13,9,325,4705.26
CUST0277,Marvin Collins,192462.4,10,593,5660.66
CUST0278,Joseph Kelley,65157.89,6,407,4654.14
CUST0279,Amber Le,131113.88,11,63,5042.84
CUST0280,Ethan Nolan,109341.49,13,685,3770.4
CUST0281,Kelly Douglas,172529.19,11,184,4540.24
CUST0282,Meredith Jennings,160536.02,13,55,4013.4
CUST0283,Robert Young,154925.69,14,624,3688.71
CUST0284,Brittany Carroll,81182.86,6,676,3690.13
CUST0285,Wendy Hansen,91054.03,7,717,3793.92
CUST0286,Amanda Stafford,73403.85,7,360,4077.99
CUST0287,Krystal Williams,182977.57,11,383,5544.77
CUST0288,Lydia Salas,127864.4,9,681,3874.68
CUST0289,Kara Harper,172559.42,13,194,4424.6
CUST0290,Elizabeth Reeves,124857.46,10,525,4305.43
CUST0291,Gilbert Smith,231884.96,17,449,3864.75
CUST0292,Walter Rogers,112447.79,8,697,4497.91
CUST0293,Stacy Steele,101168.42,8,45,5324.65
CUST0294,Jeremy Adams,69996.32,5,5,4117.43
CUST0295,Jason Watson,157239.35,6,441,6836.49
CUST0296,Dustin Chase,194757.04,10,724,5409.92
CUST0297,Danny Lin,180395.97,10,317,5305.76
CUST0298,Brian Mccullough,59667.25,4,431,5424.3
CUST0299,Amanda Jennings,137172.06,10,180,4572.4
CUST0300,Mary Lawson,182670.95,16,496,3886.62
CUST0301,Kelly Barnes,142858.6,7,663,5494.56
CUST0302,James Carter,270246.9,18,583,4222.61
CUST0303,Kirsten Horton,108319.09,8,729,4513.3
CUST0304,David Rosales,172362.58,10,287,4787.85
CUST0305,Kerri Macias,143544.38,10,117,4485.76
CUST0306,Austin Martin,208667.82,16,611,3937.13
CUST0307,Anthony Gibbs,60060.15,7,475,3336.68
CUST0308,Juan Giles,157654.57,13,38,4636.9
CUST0309,George Schmidt,222494.99,16,147,4635.31
CUST0310,Angela Rice,126159.66,13,313,4350.33
CUST0311,Joshua Crawford,82043.25,6,215,4557.96
CUST0312,Charles Barry,206362.72,11,192,4913.4
CUST0313,David Pennington,185651.48,11,124,4760.29
CUST0314,Gabriella Chandler,125896.53,8,82,4842.17
CUST0315,Tyrone Delgado,203118.38,14,228,4723.68
CUST0316,Robert Parrish,112005.38,9,288,4000.19
CUST0317,Debra Miller,187255.6,12,625,4681.39
CUST0318,Robert Welch,158160.3,10,290,4792.74
CUST0319,Warren Johnston,88367.81,9,665,4207.99
CUST0320,Michael Lopez,143461.61,10,238,5123.63
CUST0321,Todd Brandt,83252.49,11,335,3202.02
CUST0322,Mark Johns,191202.99,14,240,4663.49
CUST0323,Jennifer Graham,220941.35,16,532,4509.01
CUST0324,Grace Rodriguez,168210.29,11,331,4205.26
CUST0325,Jennifer Johnson,147366.12,14,556,3684.15
CUST0326,Christian Smith,205589.41,12,42,5271.52
CUST0327,Matthew Tucker,159942.91,9,242,4998.22
CUST0328,Christopher Tran,244590.15,18,288,4703.66
CUST0329,Harold Maynard,165511.08,8,448,5015.49
CUST0330,Stacey Manning,114646.05,9,162,4094.5
CUST0331,Terri Fleming,195792.4,16,9,4165.8
CUST0332,John Potter,199278.8,14,205,4332.15
CUST0333,Timothy Vincent,120351.01,9,68,5014.63
CUST0334,Angela Mayer,28031.17,5,494,3503.9
CUST0335,Cynthia Knapp,215399.99,15,431,5009.3
CUST0336,Ana Sloan,104229.1,7,15,4737.69
CUST0337,Adrienne Taylor,80498.95,9,318,3833.28
CUST0338,Peter Johnson,162572.04,9,52,5419.07
CUST0339,Margaret Cooper,175796.29,12,675,5170.48
CUST0340,Heather Coleman,80348.23,6,262,4726.37
CUST0341,Anthony Nelson,125562.02,6,391,5979.14
CUST0342,Jay Smith,135231.31,9,173,4225.98
CUST0343,Patricia Boyle,164505.99,15,193,4446.11
CUST0344,Ariel Jenkins,112747.28,10,697,4026.69
CUST0345,Melissa Crawford,54821.7,8,537,3224.81
CUST0346,Robert Burton,122241.09,8,355,4701.58
CUST0347,Edward Yang,99725.0,7,65,4986.25
CUST0348,Anna Erickson,75226.67,7,592,4179.26
CUST0349,Jennifer Williams,122509.37,11,291,3951.92
CUST0350,Anna Salinas,111912.27,13,275,5595.61
CUST0351,Brenda Lopez,67753.45,8,105,3387.67
CUST0352,Tracie Contreras,144087.45,12,531,4647.98
CUST0353,Steven Thornton,251252.79,16,487,4568.23
CUST0354,Erin Hansen,115687.55,8,373,4131.7
CUST0355,Angela Gray,175514.09,10,637,5484.82
CUST0356,Scott Goodman,140644.66,11,46,5409.41
CUST0357,Timothy Jackson,216629.19,19,54,4087.34
CUST0358,Laura Bailey,182688.7,12,548,5074.69
CUST0359,Ethan Jones,183642.31,14,687,5401.24
CUST0360,Connie Taylor,143792.95,12,372,3886.3
CUST0361,Michael Ellis,120847.64,11,439,4315.99
CUST0362,Danielle Green,74457.26,8,414,4136.51
CUST0363,Willie Lamb,114692.1,10,489,4247.86
CUST0364,Dylan Walker,139434.32,11,543,4497.88
CUST0365,Eric Butler,109230.79,11,87,4201.18
CUST0366,James Stafford,184865.64,15,506,4401.56
CUST0367,Michelle Jackson,164533.9,13,31,4700.97
CUST0368,Kathleen Anderson,108358.06,10,527,4013.26
CUST0369,Zachary Matthews,289625.45,16,5,5464.63
CUST0370,Joshua Fox,126347.54,12,281,4075.73
CUST0371,Timothy Hunt,162810.54,10,346,5251.95
CUST0372,Vincent Lee,142434.19,12,449,4594.65
CUST0373,Brandon Lewis,116620.78,9,602,3887.36
CUST0374,Richard Ross,159057.37,9,635,4678.16
CUST0375,Laura Jackson,129351.36,11,682,3919.74
CUST0376,Evelyn Hughes,141562.18,11,186,4163.59
CUST0377,Joseph Sullivan,225830.71,15,637,5018.46
CUST0378,Rebecca Mckenzie,85156.63,9,515,5009.21
CUST0379,Francisco Wolfe,92745.25,7,724,4881.33
CUST0380,Patrick Walker,123975.48,8,655,4591.68
CUST0381,Allison Burgess,128350.28,9,460,4583.94
CUST0382,Jesse Kelley,177514.68,12,325,4551.66
CUST0383,Terri Lynch,119176.31,8,531,4965.68
CUST0384,Antonio Lucas,119479.46,7,444,5194.76
CUST0385,Sharon Williams,97000.62,12,698,2852.96
CUST0386,Michelle Carroll,200543.9,13,660,4266.89
CUST0387,Danielle Watson,107743.2,8,717,4143.97
CUST0388,Julian Campbell,91535.7,6,709,5384.45
CUST0389,Tyler Castro,104858.9,14,697,3495.3
CUST0390,Annette Bates,99999.35,8,362,3999.97
CUST0391,Joseph Edwards,97037.49,8,426,4219.02
CUST0392,Joshua Mckay,101677.76,6,640,4841.8
CUST0393,Betty Conrad,135265.1,10,289,4227.03
CUST0394,Jocelyn Robinson,232505.04,13,121,4745.0
CUST0395,Christopher Gonzales,127444.93,7,304,6372.25
CUST0396,Eric Reeves,155847.09,11,622,3896.18
CUST0397,Stephanie Johnston,112296.33,10,393,4491.85
CUST0398,Nicholas Stanley,132343.71,8,505,5514.32
CUST0399,Andrew Bond,153395.53,11,537,4260.99
CUST0400,Amanda Myers,112854.56,8,731,4179.8
CUST0401,Calvin Shelton,158238.04,13,529,4164.16
CUST0402,Jeff Pierce,161100.7,12,460,4738.26
CUST0403,Shane Daniels,114260.66,8,193,4080.74
CUST0404,Gregory Gonzalez,237353.31,10,222,6085.98
CUST0405,Mark Carter,157468.05,11,397,4499.09
CUST0406,Jacob Reeves,164358.35,11,591,5301.88
CUST0407,Pamela Parker,165450.56,10,654,5170.33
CUST0408,Lindsay Trevino,111406.33,10,694,3713.54
CUST0409,Erin Salas,138470.36,11,536,5128.53
CUST0410,Kristen Boyd,76056.57,5,292,4225.37
CUST0411,Jamie Savage,111829.55,8,246,4659.56
CUST0412,Beverly Chambers,65811.31,5,246,4113.21
CUST0413,Margaret Smith,104412.19,8,485,4176.49
CUST0414,Melissa Howard,109366.57,9,594,4556.94
CUST0415,Ryan James,95365.19,8,706,4334.78
CUST0416,Craig Kennedy,136860.79,7,462,5263.88
CUST0417,Daniel Bender,177233.12,10,272,5370.7
CUST0418,Robert Bryant,79775.63,6,699,4985.98
CUST0419,Troy Nguyen,89031.69,6,664,4239.6
CUST0420,Kathryn Valdez,135440.85,11,153,5016.33
CUST0421,Sandy Byrd,92562.1,8,224,3702.48
CUST0422,Felicia Murillo,105236.25,8,3,4575.49
CUST0423,Brandy Allen,182289.21,12,549,4557.23
CUST0424,Amy Russell,203298.43,15,557,5082.46
CUST0425,Adam Lee,304347.76,19,118,4989.31
CUST0426,Michelle Kim,202835.06,16,54,4315.64
CUST0427,Jennifer Phillips,90618.43,6,13,5330.5
CUST0428,Joshua Webb,31456.32,3,66,3932.04
CUST0429,Robert Scott,91780.01,7,62,3530.0
CUST0430,Robert Williams,180975.58,8,569,6032.52
CUST0431,Jasmine Graham,169368.51,12,662,5463.5
CUST0432,Matthew Williams,72111.24,5,316,4807.42
CUST0433,Charles Perry,164822.15,13,679,4578.39
CUST0434,Tamara Grant,238936.1,14,476,5430.37
CUST0435,Tyler Young,127852.51,8,624,5114.1
CUST0436,Amy Henderson,135165.51,13,702,4223.92
CUST0437,Tracey Williams,77599.46,8,174,3879.97
CUST0438,Heidi Mitchell,69361.99,5,424,5780.17
CUST0439,Paul Harrison,148446.75,8,719,4948.23
CUST0440,Elizabeth Burke,96400.5,7,151,4820.03
CUST0441,Jessica Martin,184767.29,10,564,5279.07
CUST0442,William Meza,203826.47,12,409,4529.48
CUST0443,John Thompson,127340.32,10,587,4716.31
CUST0444,Michael Smith,113267.35,8,571,4924.67
CUST0445,Daniel Hurley,138994.28,9,114,4483.69
CUST0446,Audrey Foley,101825.69,6,393,5091.28
CUST0447,Margaret Nelson,48781.02,6,709,3484.36
CUST0448,Jeremy Russo,156783.25,13,295,5057.52
CUST0449,Ashley Ritter,159749.0,13,329,3803.55
CUST0450,Richard Bradley,148410.68,11,702,4787.44
CUST0451,Mark Mcneil,162217.1,11,295,4159.41
CUST0452,Barbara Taylor,133825.31,10,210,4956.49
CUST0453,Craig West,92718.0,10,525,3311.36
CUST0454,Charles Smith,144583.42,12,442,4663.98
CUST0455,Cory Bell,69574.11,8,500,3162.46
CUST0456,Jennifer Walter,161250.73,15,553,4031.27
CUST0457,Kayla Smith,250142.81,16,47,5002.86
CUST0458,Matthew Nichols,102483.1,8,470,5693.51
CUST0459,Katherine Richardson,134231.9,9,310,4330.06
CUST0460,Doris Park,51667.53,4,355,3974.43
CUST0461,Brian Lewis,108518.01,10,14,3742.0
CUST0462,Ryan Terry,139637.69,7,379,5585.51
CUST0463,Benjamin Carroll,109729.83,9,171,3918.92
CUST0464,Colleen Davis,151721.48,10,432,4597.62
CUST0465,Nathan Allen,156081.98,10,132,4729.76
CUST0466,Mary Green,161487.91,11,617,4613.94
CUST0467,Sheila Thomas,90572.47,6,454,4528.62
CUST0468,Carla Nichols,186303.79,12,155,4435.8
CUST0469,Andrea Guerrero,99750.93,8,575,4987.55
CUST0470,Marissa Roy,92846.49,9,384,3571.02
CUST0471,Amanda Weber,45875.72,6,332,3528.9
CUST0472,Chelsea Morris,173616.98,12,312,4234.56
CUST0473,Robert Martin,236856.57,11,261,5508.29
CUST0474,Sara Hunter,260704.05,19,86,4010.83
CUST0475,Cathy Jackson,59031.56,7,634,4216.54
CUST0476,Michael Howard,80510.62,9,564,3500.46
CUST0477,Kenneth Baker,196820.37,16,56,3859.22
CUST0478,Natalie Powers,107309.21,7,57,4292.37
CUST0479,Todd Henderson,141337.48,8,257,5234.72
CUST0480,Michael Rivas,120356.3,7,571,5014.85
CUST0481,Gary Smith,78602.25,6,718,4366.79
CUST0482,Jeffery Patel,128707.92,10,730,5596.0
CUST0483,Jared Brown,102016.97,8,117,5100.85
CUST0484,Mary Gonzales,116077.35,8,729,4836.56
CUST0485,Kristina Hall,91107.58,5,724,4338.46
CUST0486,Wendy Haley,107752.47,7,463,4310.1
CUST0487,Michael Atkins,133559.44,10,365,4308.37
CUST0488,Christine Brown,96828.22,8,80,4209.92
CUST0489,Lauren Green,149614.8,13,343,3740.37
CUST0490,Sandra Martinez,238973.39,15,422,4978.61
CUST0491,Keith Sampson,199665.52,11,449,4991.64
CUST0492,Nathaniel Campbell,142095.38,10,721,4583.72
CUST0493,David Hull,179181.08,15,127,4370.27
